Freq_f1_t1_el1,Freq_f1_t2_el1,Freq_f1_t3_el1,Freq_f1_t1_el2,Freq_f1_t2_el2,Freq_f1_t3_el2,Freq_f2_t1_el2,Freq_f2_t2_el2,Freq_f2_t3_el2,Freq_f2_t1_el3,Freq_f2_t2_el3,Freq_f2_t3_el3,Freq_f3_t1_el2,Freq_f3_t2_el2,Freq_f3_t3_el2,Freq_f3_t1_el3,Freq_f3_t2_el3,Freq_f3_t3_el3,V,ID,congruency
38.61423946,-11.11560186,-33.94180271,3.834677811,-4.47265181,-13.57858855,-69.4686609,-62.80411054,-62.38644772,-58.41726264,-69.60680656,-69.58585065,-37.30356701,-15.30178318,-29.396213,16.46586673,12.66985777,-4.866098729,0.3333333333333333,22,nan
42.65740433,-28.17164817,-46.60872966,56.31239353,21.64733284,-38.19228488,-19.21215408,-59.29163415,-71.17797566,-58.8381564,-67.54035136,-75.83372828,13.61083792,-22.85229026,-31.07212609,-15.63997235,-13.14615841,-11.57349545,0.3333333333333333,22,nan
37.29538331,-14.72845583,-1.913029892,-12.09176166,-10.34939941,-41.15603228,-17.72732175,-43.21442477,-73.84594969,-51.88926658,-75.18460295,-79.88860268,-22.95224936,-28.50085565,-30.95502013,-20.52539335,-28.4229037,-17.15518422,0.003333333333333336,22,nan
-0.640889837,2.697195675,-1.840324051,-11.18039557,-0.158982833,-11.87504716,-35.92609073,-33.62317856,-67.1999763,-70.98500418,-52.57986951,-63.66647356,-23.54251002,-41.00223983,-47.42106395,-5.592118154,-10.63367463,-15.68373757,0.3333333333333333,22,nan
40.17856167,-32.93003008,-13.53540141,-15.55269392,-11.04998108,-25.44213297,-38.87240479,-18.30272665,-60.71167389,-70.66825723,-53.1934575,-67.62930997,-38.72321788,-20.70893831,-35.31696785,-28.46526447,-18.16539128,-14.53909599,0.003333333333333336,22,nan
-1.578046869,-28.24862841,5.092739758,-13.92040465,-48.31893326,-27.87811435,-14.78664886,-45.71326542,-64.67455016,-57.75130234,-68.03922183,-78.08865407,-29.90149462,-40.99465166,-38.71550513,-21.04435165,-18.29490813,-27.03440492,0.9933333333333333,22,nan
17.03228002,-24.64090338,-7.842916276,11.36323333,-24.81544626,-36.86088505,-62.07289688,-70.86960443,-78.35405678,-59.27317426,-73.21811676,-76.43594886,-40.64454208,-47.31393654,-46.13178966,-23.30576515,-28.37921174,-31.22961359,0.9999333333333333,22,nan
-0.761619506,22.11944803,-48.79574588,65.28200792,6.810151762,-18.93338515,-7.495239469,-54.1372495,-74.06601518,-49.12419857,-68.10677053,-68.94028168,13.36863189,-38.75803374,-48.59007697,-18.43682009,-37.23318902,-26.14190004,0.9900333333333333,22,nan
5.39978685,-11.08763703,4.347144659,0.476292527,-33.52306397,-21.17225278,10.12922876,-58.83409928,-64.88260288,-8.421592493,-54.80365854,-72.01041979,-26.237298,-42.28094346,-38.06012228,-16.87563888,-33.61993887,-40.2587598,3.333333333333339e-05,22,nan
72.26076867,27.24001845,-17.11554193,17.29462219,6.566554026,-1.238913637,-15.7575258,1.330094068,2.395260332,-51.04364753,-42.47490711,-43.2396438,-2.208663585,-3.107239213,18.12908117,-16.54785503,-5.31166527,22.32399094,3.333333333333342e-07,22,nan
43.93465715,16.25054995,-29.09182509,-5.581155901,-24.00684962,-40.80459879,-47.71783694,-49.48351544,-68.46604922,-67.20307377,-49.18882309,-42.76771944,-20.10823572,-32.7156538,-54.29653998,-27.88945238,-34.43824356,-41.50185022,0.009999333333333343,22,nan
-25.21031323,-33.70762687,-2.643929987,15.28517018,-38.10995761,-28.09798924,-16.7242289,-54.14969628,-54.08759888,-56.18570706,-66.77151803,-68.79460693,15.47697448,-38.7781853,-40.25565617,-5.297451107,-38.44914044,-24.14577871,0.9999003333333333,22,nan
23.42765381,-17.49539915,9.127051095,-1.057009801,-35.0946442,-26.27275813,-46.04996992,-67.23173647,-20.88821327,-65.79471645,-56.51695921,-39.54506232,-47.26307565,-39.45352133,-18.01376146,-43.1110215,-42.28399267,-31.93739324,3.333333333333345e-09,22,nan
